,benchmark,model,AUC,precision @ rank,anomaly.rate,time
0,skin_benchmark_0001.csv,KNN,0.7181,0.2432,0.20283333333333334,0.08
1,skin_benchmark_0001.csv,LOF,0.4534,0.1027,0.20283333333333334,0.114
2,skin_benchmark_0001.csv,PCA,0.4572,0.0288,0.20283333333333334,0.015
3,skin_benchmark_0001.csv,LODA,0.4477,0.0265,0.20283333333333334,0.153
4,skin_benchmark_0002.csv,KNN,0.7129,0.2327,0.20416666666666666,0.051
5,skin_benchmark_0002.csv,LOF,0.4524,0.1412,0.20416666666666666,0.098
6,skin_benchmark_0002.csv,PCA,0.4178,0.04,0.20416666666666666,0.018
7,skin_benchmark_0002.csv,LODA,0.4428,0.0434,0.20416666666666666,0.126
8,skin_benchmark_0003.csv,KNN,0.7211,0.2506,0.2075,0.053
9,skin_benchmark_0003.csv,LOF,0.4418,0.1341,0.2075,0.09
10,skin_benchmark_0003.csv,PCA,0.4399,0.0337,0.2075,0.015
11,skin_benchmark_0003.csv,LODA,0.4063,0.0484,0.2075,0.102
12,skin_benchmark_0004.csv,KNN,0.7301,0.2258,0.19783333333333333,0.058
13,skin_benchmark_0004.csv,LOF,0.4438,0.1112,0.19783333333333333,0.089
14,skin_benchmark_0004.csv,PCA,0.4583,0.0185,0.19783333333333333,0.013
15,skin_benchmark_0004.csv,LODA,0.4253,0.023,0.19783333333333333,0.133
16,skin_benchmark_0005.csv,KNN,0.719,0.2482,0.20683333333333334,0.063
17,skin_benchmark_0005.csv,LOF,0.4104,0.1048,0.20683333333333334,0.098
18,skin_benchmark_0005.csv,PCA,0.4442,0.0564,0.20683333333333334,0.017
19,skin_benchmark_0005.csv,LODA,0.4286,0.0446,0.20683333333333334,0.1075
20,skin_benchmark_0006.csv,KNN,0.7019,0.2257,0.209,0.071
21,skin_benchmark_0006.csv,LOF,0.4086,0.0973,0.209,0.133
22,skin_benchmark_0006.csv,PCA,0.4347,0.0837,0.209,0.018
23,skin_benchmark_0006.csv,LODA,0.465,0.1188,0.209,0.125
24,skin_benchmark_0007.csv,KNN,0.7148,0.2248,0.20683333333333334,0.065
25,skin_benchmark_0007.csv,LOF,0.4111,0.1015,0.20683333333333334,0.113
26,skin_benchmark_0007.csv,PCA,0.4553,0.0935,0.20683333333333334,0.013
27,skin_benchmark_0007.csv,LODA,0.5473,0.1475,0.20683333333333334,0.11
28,skin_benchmark_0008.csv,KNN,0.7161,0.206,0.20716666666666667,0.057
29,skin_benchmark_0008.csv,LOF,0.3982,0.0845,0.20716666666666667,0.1808
30,skin_benchmark_0008.csv,PCA,0.425,0.0772,0.20716666666666667,0.021
31,skin_benchmark_0008.csv,LODA,0.5852,0.1102,0.20716666666666667,0.116
32,skin_benchmark_0009.csv,KNN,0.7079,0.2448,0.20766666666666667,0.082
33,skin_benchmark_0009.csv,LOF,0.4325,0.0979,0.20766666666666667,0.123
34,skin_benchmark_0009.csv,PCA,0.4515,0.0979,0.20766666666666667,0.015
35,skin_benchmark_0009.csv,LODA,0.4988,0.0642,0.20766666666666667,0.132
36,skin_benchmark_0010.csv,KNN,0.7133,0.1853,0.19783333333333333,0.057
37,skin_benchmark_0010.csv,LOF,0.4057,0.0691,0.19783333333333333,0.114
38,skin_benchmark_0010.csv,PCA,0.4386,0.0876,0.19783333333333333,0.017
39,skin_benchmark_0010.csv,LODA,0.3914,0.0927,0.19783333333333333,0.125
40,skin_benchmark_0011.csv,KNN,0.6618,0.2713,0.21683333333333332,0.171
