,benchmark,model,ROC,precision @ rank,time
0,wine_benchmark_0001.csv,KNN,0.55,0.4018,0.303
1,wine_benchmark_0001.csv,LOF,0.551,0.4014,0.333
2,wine_benchmark_0001.csv,PCA,0.5418,0.4171,0.018
3,wine_benchmark_0001.csv,LODA,0.5393,0.3951,0.093
4,wine_benchmark_0002.csv,KNN,0.5485,0.4005,0.287
5,wine_benchmark_0002.csv,LOF,0.5671,0.4043,0.427
6,wine_benchmark_0002.csv,PCA,0.5408,0.3943,0.02
7,wine_benchmark_0002.csv,LODA,0.483,0.3369,0.079
8,wine_benchmark_0003.csv,KNN,0.5568,0.4215,0.2746
9,wine_benchmark_0003.csv,LOF,0.5562,0.4193,0.375
10,wine_benchmark_0003.csv,PCA,0.5358,0.4081,0.018
11,wine_benchmark_0003.csv,LODA,0.5725,0.4407,0.11
12,wine_benchmark_0004.csv,KNN,0.555,0.4188,0.309
13,wine_benchmark_0004.csv,LOF,0.5539,0.4283,0.397
14,wine_benchmark_0004.csv,PCA,0.5512,0.4312,0.013
15,wine_benchmark_0004.csv,LODA,0.633,0.4739,0.094
16,wine_benchmark_0005.csv,KNN,0.5589,0.4183,0.273
17,wine_benchmark_0005.csv,LOF,0.5663,0.4114,0.3785
18,wine_benchmark_0005.csv,PCA,0.5507,0.4205,0.025
19,wine_benchmark_0005.csv,LODA,0.611,0.4543,0.11
20,wine_benchmark_0006.csv,KNN,0.5575,0.4334,0.533
21,wine_benchmark_0006.csv,LOF,0.5456,0.4248,0.562
22,wine_benchmark_0006.csv,PCA,0.5486,0.4305,0.023
23,wine_benchmark_0006.csv,LODA,0.4284,0.315,0.109
24,wine_benchmark_0007.csv,KNN,0.5471,0.418,0.5
25,wine_benchmark_0007.csv,LOF,0.5405,0.4101,0.584
26,wine_benchmark_0007.csv,PCA,0.5407,0.4165,0.022
27,wine_benchmark_0007.csv,LODA,0.5817,0.4394,0.092
28,wine_benchmark_0008.csv,KNN,0.5568,0.3985,0.5996
29,wine_benchmark_0008.csv,LOF,0.5479,0.3931,0.658
30,wine_benchmark_0008.csv,PCA,0.5543,0.4015,0.022
31,wine_benchmark_0008.csv,LODA,0.5882,0.4208,0.101
32,wine_benchmark_0009.csv,KNN,0.5434,0.4062,0.606
33,wine_benchmark_0009.csv,LOF,0.5208,0.3996,0.555
34,wine_benchmark_0009.csv,PCA,0.535,0.404,0.016
35,wine_benchmark_0009.csv,LODA,0.5492,0.4194,0.111
36,wine_benchmark_0010.csv,KNN,0.5614,0.4186,0.5991
37,wine_benchmark_0010.csv,LOF,0.545,0.4097,0.6771
38,wine_benchmark_0010.csv,PCA,0.5479,0.4134,0.019
39,wine_benchmark_0010.csv,LODA,0.5931,0.4416,0.071
40,wine_benchmark_0011.csv,KNN,0.5431,0.3883,0.9507
41,wine_benchmark_0011.csv,LOF,0.5263,0.3768,0.8616
42,wine_benchmark_0011.csv,PCA,0.533,0.3906,0.029
43,wine_benchmark_0011.csv,LODA,0.5073,0.3645,0.063
44,wine_benchmark_0012.csv,KNN,0.5505,0.411,0.8391
45,wine_benchmark_0012.csv,LOF,0.5272,0.4081,0.9271
46,wine_benchmark_0012.csv,PCA,0.5317,0.4045,0.03
47,wine_benchmark_0012.csv,LODA,0.52,0.398,0.079
48,wine_benchmark_0013.csv,KNN,0.5404,0.3988,0.7991
